Company,Job,Location,Salary
Facebook,"Technical Program Manager, News Feed Science","Menlo Park, CA",0
Science Philanthropy Alliance,Alliance Fellow,"Palo Alto, CA",0
Netflix,Senior Analytics Engineer - Playback Data,"Los Gatos, CA",0
ZingBox,Data scientist,"Mountain View, CA",0
Yahoo! Inc.,Research Scientist - Yahoo Publisher Products,"Sunnyvale, CA",0
Google,People Operations Alphabet Benefits Program Manager,"Mountain View, CA",0
"Magic Leap, Inc.",Network Administrator (CA),"Mountain View, CA 94040",0
Payette Group,Data Scientists - Machine Learning Expert,"Mountain View, CA",0
Eurofins,"Scientist, HPLC Chemist","Foster City, CA",0
Facebook,"Technical Sourcer, Machine Learning","Menlo Park, CA",0
Gilead Sciences,Research Scientist I- Analytical Operations,"Foster City, CA",0
Qeexo,Machine Learning Engineer,"Mountain View, CA 94043",0
Apple,Equipment Process Development Engineer.,"Santa Clara Valley, CA",0
Exponent,Scientist/Engineer,"Menlo Park, CA 94025",0
Atreca,Bioinformatics Scientist,"Redwood City, CA 94063",0
SRI International,Postdoctoral Fellow or Research Scientist - Integrative Neur...,"Menlo Park, CA 94025",0
Datanyze,Machine Learning Engineer,"San Mateo, CA 94402 (Beresford area)",0
Poshmark,Data Science & Analytics Manager,"Redwood City, CA",0
DataVisor,Security Data Scientist,"Mountain View, CA",0
Immersion,Sr. UX Researcher,"San Jose, CA 95131 (North Valley area)",0
Huawei,"Sr. Staff Engineer, Machine Learning & Network Reliability","Santa Clara, CA",0
Primary Data,Senior Tools Developer,"Los Altos, CA 94022",0
"Bunchball, Inc.",Senior Engineer - Data and Performance,"Redwood City, CA",0
Affymetrix,Bioinformatics Programmer Analyst 3,"Santa Clara, CA 95051",0
Sony Interactive Entertainment PlayStation,Lead Data Scientist-Business Intelligence Service,"San Mateo, CA",0
Primary Data,Senior Engineer: System Management,"Los Altos, CA 94022",0
"PARC, a Xerox company","Post-doctoral Scientist, Optoelectronic Materials and Device...","Palo Alto, CA",0
ThreatMetrix,"Technical Business Analyst - San Jose, CA","San Jose, CA 95113 (Downtown area)",0
Ayasdi,Senior Data Engineer (Python),"Menlo Park, CA 94025",0
"Magic Leap, Inc.",SW Dev. Engineer in Test (Computer Vision),"Mountain View, CA 94040",0
Clorox,"Senior Scientist - Renew Life Product Development, R&D","Pleasanton, CA 94588",0
Stride Search,Research Scientist,"Palo Alto, CA",0
TOMA Biosciences,Field Scientist,"Foster City, CA",0
Annual Reviews,Production Editor,"Palo Alto, CA 94306 (Barron Park area)",0
Huawei,"Principal Engineer, Machine Learning & Artificial Intelligen...","Santa Clara, CA",0
Evalstat Research Institute,Statistician,"Palo Alto, CA",0
Facebook,"Quantitative Scientist, People Analytics","Menlo Park, CA",0
SAP,Frontend Developer for Machine Learning development Job,"Palo Alto, CA",0
Walmart eCommerce,Machine Learning Scientist,"Sunnyvale, CA",0
CDI Corporation,Research Assistant II - Data Analyst,"Mountain View, CA",$25.57 an hour
Coupang,Sr. Machine Learning Data Scientist,"Palo Alto, CA",0
Stanford University,Research Data Analyst 1,"Stanford, CA 94305",0
Apple,Siri Data Engineer,"Santa Clara Valley, CA",0
Google,"Software Engineer Manager, People Analytics","Mountain View, CA",0
Bosch,Research Scientist - Deep Learning,"Palo Alto, CA",0
"PARC, a Xerox company","PostDoc or Technical Staff, Energy Devices and Systems","Palo Alto, CA",0
Intuit,"Staff Software Engineer, Search","Mountain View, CA 94039",0
Baidu USA,Software Engineer - Big Data Lab,"Sunnyvale, CA 94089",0
Electronic Arts,Senior Product Manager - Data Platform,"Redwood City, CA 94065",0
Primary Data,Account Executive,"Los Altos, CA 94022",0
"Cisco Systems, Inc.","Software Developer (Python, Ruby)","San Jose, CA",0
Walmart eCommerce,Network Eng with Software/DevOps exp,"Sunnyvale, CA",0
Jetlore,Distributed Systems Engineer,"Sunnyvale, CA",0
Color Genomics,Variant Scientist,"Burlingame, CA",0
BuzzClan LLC,BI Data Warehouse Engineer,"Pleasanton, CA",0
Google,"Software Engineer, Machine Learning","Mountain View, CA",0
UserTesting,Data Engineer,"Mountain View, CA",0
Theranos,"Scientist, Machine Learning","Palo Alto, CA",0
Apple,Data Specialist - Commerce Platform,"Santa Clara Valley, CA",0
Google,"Quantitative Analyst/Statistician, Engineering, University G...","Mountain View, CA",0
Intellipro Group Inc.,Jr. Machine Learning Developer,"Santa Clara, CA",0
Samsung Electronics America,Sr. Data Scientist - Strategic Analytics,"Mountain View, CA",0
Coupang,Sr. Data Scientist,"Palo Alto, CA",0
Apple,Siri Reliability Data Engineer,"Santa Clara Valley, CA",0
Apple,Machine Learning Infrastructure Engineer - Imaging & Vision...,"Santa Clara Valley, CA",0
Stanford University,Bioinformatics Analyst,"Stanford, CA 94305",0
Adverum Biotechnologies,"Senior Scientist, Pre-Clinical","Menlo Park, CA",0
Qeexo,"Machine Learning Engineer, Implementation","Mountain View, CA 94043",0
NVIDIA,Research Scientist for Computer Vision / Machine Learning,"Santa Clara, CA",0
Intel,Data Analyst 2016,"Santa Clara, CA 95051",0
Verizon,Senior Data Scientist,"Palo Alto, CA 94301 (Professorville area)",0
"PARC, a Xerox company",Member of Research Staff - Machine Learning,"Palo Alto, CA",0
Palo Alto Networks,Intern: Data Science,"Santa Clara, CA 95054",0
Google,Quantitative Financial Analyst,"Mountain View, CA",0
NVIDIA,Research Scientist (Machine Learning),"Santa Clara, CA",0
TiVo,Senior Data Engineer,"San Jose, CA 95131 (North Valley area)",0
Walmart eCommerce,Seller Integration Engineer,"Sunnyvale, CA",0
Stanford Health Care,Customer Service Representative,"Palo Alto, CA 94305",0
Apple,Camera System Engineer,"Santa Clara Valley, CA",0
Gilead Sciences,Research Scientist II- Inflammation,"Foster City, CA",0
Walmart eCommerce,Cassandra Engineer,"Sunnyvale, CA",0
Picarro,Data Scientist,"Santa Clara, CA 95054",0
Chegg,Senior Marketing Analyst,"Santa Clara, CA 95054",0
McKinsey & Company,"Product & Delivery Analyst - Healthcare Analytics, McKinsey...","Silicon Valley, CA",0
Continental,Big Data Engineer - Machine Learning Engineer,"Santa Clara, CA",0
"NextDeavor, Inc.",Sr. Data Scientist,"Mountain View, CA 94041","$150,000 a year"
Coupang,Principal Data Scientist (Fraud Protection),"Palo Alto, CA",0
Netflix,Senior Data Scientist - Real Time Analytics,"Los Gatos, CA",0
Google,"Cloud Instructor (Big Data, Machine Learning), Google Cloud...","Mountain View, CA",0
Apple,Research Scientists - Machine Learning,"Santa Clara Valley, CA",0
Microsoft,APPLIED SCIENTIST 2,"Sunnyvale, CA",0
Carnegie Institution,Computational quantitative genetics postdoc position,"Palo Alto, CA",0
A9.com,Manager - Data Sciences - Forecasting and Optimization,"Palo Alto, CA",0
Dataguise Inc.,Machine Learning Expert Consultant,"Fremont, CA 94538 (Irvington area)",0
Apple,Siri Machine Learning Engineer,"Santa Clara Valley, CA",0
C3 IoT,Machine Learning Engineer,"Redwood City, CA",0
Samsung,Big Data Architect,"Mountain View, CA",0
Samsung Electronics America,Big Data Architect,"Mountain View, CA",0
Codexis,Analytical Development Scientist,"Redwood City, CA",0
Samsung Research America,Machine Learning/Deep Learning Research Engineer,"Mountain View, CA 94043",0
Intuit,"Group Manager, SBG Data Analytics & Science","Mountain View, CA 94039",0
Facebook,Decision Scientist,"Menlo Park, CA",0
Pacific Biosciences,"Principal Scientist / Sr. Staff Scientist, Single Molecule S...","Menlo Park, CA",0
Proofpoint,Staff Big Data Engineer / Architect,"Sunnyvale, CA 94089",0
Qualcomm,Machine Learning Researchers (Qualcomm Research Silicon Vall...,"Santa Clara, CA",0
Exponent,Cyber Security and Identity Manager,"Menlo Park, CA 94025",0
FICO,Software Analytics Engineer (Machine Learning and Big Data),"San Jose, CA 95110 (Downtown area)",0
Exponent,Associate/Engineer/Scientist,"Menlo Park, CA 94025",0
Human Longevity,Software Engineer (Big Data),"Mountain View, CA",0
SLAC National Accelerator Laboratory,Beam Line Engineer,"Menlo Park, CA",0
Gilead,Research Scientist I- Analytical Operations,"Foster City, CA",0
Apple,"Predictive Search Manager, Machine Learning","Santa Clara Valley, CA",0
Slice Technologies & Unroll.me,Software Engineer / Machine Learning Scientist,"San Mateo, CA",0
Ardelyx,Sr. Scientist - DMPK,"Fremont, CA 94555 (Northgate area)",0
Canalys,Research Analyst,"Palo Alto, CA",0
Amazon Corporate LLC,Research Scientist,"Palo Alto, CA",0
A9.com,"Software Engineer – Machine Learning, Search, Query processi...","Palo Alto, CA",0
Huawei,Big Data Engineer,"Santa Clara, CA",0
"InsideSales.com, Inc.",Sr. Data Scientist,"San Mateo, CA",0
Chegg,Data Analyst,"Santa Clara, CA 95054",0
Baidu USA,Product Manager - Big Data Lab,"Sunnyvale, CA 94089",0
